sce biolsce_maturity biolsce_M biolsce_weight biolsce_init_pops biolsce_init_pops biolsce_fecundity biolsce_Linfs biolsce_Ks biolsce_recru biolsce_mig pop
1 1 1 1 1 1 1 1 1 1 0 HKE.GSA17
1 1 1 1 1 1 1 1 1 1 0 MTS.GSA17
1 1 1 1 1 1 1 1 1 1 0 MUT.GSA17
1 1 1 1 1 1 1 1 1 1 0 SOL.GSA17
