pt_graph abundance
10659 0
10659 0
10659 0
10659 0
10746 0
10746 0
10746 0
10746 0
11626 0
11626 0
11626 0
11626 0
11701 0
11701 0
11701 0
11701 0
11937 0
11937 0
11937 0
11937 0
12014 0
12014 0
12014 0
12014 0
12300 0
12300 0
12300 0
12300 0
12354 0.00315457
12354 0.0015674
12354 0
12354 0
12415 0.00315457
12415 0.0015674
12415 0
12415 0
12416 0
12416 0.0015674
12416 0
12416 0
12476 0
12476 0.0015674
12476 0
12476 0
12477 0
12477 0.0015674
12477 0
12477 0
12478 0
12478 0.0015674
12478 0
12478 0
12539 0
12539 0.0015674
12539 0
12539 0
12540 0
12540 0.0015674
12540 0
12540 0
12598 0
12598 0
12598 0
12598 0
12599 0
12599 0
12599 0
12599 0
12600 0
12600 0
12600 0
12600 0
12602 0
12602 0.0015674
12602 0
12602 0
12660 0
12660 0.0015674
12660 0
12660 0
12661 0
12661 0
12661 0
12661 0
12662 0
12662 0
12662 0
12662 0
12721 0
12721 0
12721 0
12721 0
12722 0
12722 0
12722 0
12722 0
12723 0
12723 0
12723 0
12723 0
12724 0
12724 0
12724 0
12724 0
12782 0
12782 0
12782 0.00091324
12782 0.00091324
12783 0
12783 0
12783 0
12783 0
12784 0
12784 0
12784 0
12784 0
12785 0
12785 0
12785 0
12785 0
12786 0
12786 0
12786 0
12786 0
12787 0
12787 0
12787 0
12787 0
12841 0
12841 0
12841 0.00091324
12841 0.00091324
12842 0
12842 0
12842 0
12842 0
12843 0
12843 0
12843 0
12843 0
12844 0
12844 0
12844 0
12844 0
12845 0
12845 0
12845 0
12845 0
12846 0
12846 0
12846 0
12846 0
12847 0
12847 0
12847 0
12847 0
12848 0
12848 0
12848 0
12848 0
12901 0
12901 0
12901 0.00091324
12901 0.00091324
12902 0
12902 0
12902 0.00091324
12902 0.00091324
12903 0
12903 0
12903 0
12903 0
12904 0
12904 0
12904 0
12904 0
12905 0
12905 0
12905 0
12905 0
12906 0
12906 0
12906 0
12906 0
12907 0
12907 0
12907 0
12907 0
12908 0
12908 0
12908 0
12908 0
12909 0
12909 0
12909 0
12909 0
12910 0
12910 0
12910 0
12910 0
12961 0
12961 0
12961 0.00091324
12961 0.00091324
12962 0
12962 0
12962 0.00091324
12962 0.00091324
12963 0
12963 0
12963 0
12963 0
12964 0
12964 0
12964 0
12964 0
12965 0
12965 0
12965 0
12965 0
12966 0
12966 0
12966 0
12966 0
12967 0
12967 0
12967 0
12967 0
12968 0
12968 0
12968 0
12968 0
13018 0
13018 0
13018 0.00091324
13018 0.00091324
13019 0
13019 0
13019 0.00091324
13019 0.00091324
13020 0
13020 0
13020 0
13020 0
13021 0
13021 0
13021 0
13021 0
13022 0
13022 0
13022 0
13022 0
13023 0
13023 0
13023 0
13023 0
13024 0
13024 0
13024 0
13024 0
13025 0
13025 0
13025 0
13025 0
13051 0
13051 0
13051 0
13051 0
13075 0
13075 0
13075 0
13075 0
13076 0
13076 0
13076 0
13076 0
13077 0
13077 0
13077 0.00091324
13077 0.00091324
13078 0
13078 0
13078 0.00091324
13078 0.00091324
13079 0
13079 0
13079 0.00091324
13079 0.00091324
13080 0
13080 0
13080 0.00091324
13080 0.00091324
13081 0
13081 0
13081 0
13081 0
13082 0
13082 0
13082 0
13082 0
13083 0
13083 0
13083 0
13083 0
13084 0
13084 0
13084 0
13084 0
13085 0
13085 0
13085 0
13085 0
13135 0
13135 0
13135 0
13135 0
13136 0
13136 0
13136 0
13136 0
13137 0
13137 0
13137 0
13137 0
13138 0
13138 0
13138 0
13138 0
13139 0
13139 0
13139 0
13139 0
13140 0
13140 0
13140 0
13140 0
13144 0
13144 0
13144 0
13144 0
13195 0
13195 0
13195 0
13195 0
13196 0
13196 0
13196 0
13196 0
13197 0
13197 0
13197 0
13197 0
13198 0
13198 0
13198 0
13198 0
13199 0
13199 0
13199 0
13199 0
13256 0
13256 0
13256 0
13256 0
13257 0
13257 0
13257 0
13257 0
13258 0
13258 0
13258 0
13258 0
13407 0
13407 0
13407 0
13407 0
13412 0
13412 0
13412 0
13412 0
13413 0
13413 0
13413 0
13413 0
13468 0
13468 0
13468 0
13468 0
13472 0
13472 0
13472 0
13472 0
13473 0
13473 0
13473 0
13473 0
13474 0
13474 0
13474 0
13474 0
13475 0
13475 0
13475 0
13475 0
13476 0
13476 0
13476 0
13476 0
13527 0
13527 0
13527 0
13527 0
13528 0
13528 0
13528 0
13528 0
13529 0
13529 0
13529 0
13529 0
13530 0
13530 0
13530 0
13530 0
13531 0
13531 0
13531 0
13531 0
13532 0
13532 0
13532 0
13532 0
13533 0
13533 0
13533 0
13533 0
13586 0
13586 0
13586 0
13586 0
13587 0
13587 0
13587 0
13587 0
13588 0
13588 0
13588 0
13588 0
13589 0
13589 0
13589 0
13589 0
13590 0
13590 0
13590 0
13590 0
13591 0
13591 0
13591 0
13591 0
13598 0
13598 0.0015674
13598 0
13598 0
13599 0
13599 0.0015674
13599 0
13599 0
13644 0
13644 0
13644 0
13644 0
13645 0
13645 0
13645 0
13645 0
13646 0
13646 0
13646 0
13646 0
13647 0
13647 0
13647 0
13647 0
13648 0
13648 0
13648 0
13648 0
13649 0
13649 0
13649 0
13649 0
13657 0
13657 0.0015674
13657 0
13657 0
13658 0
13658 0.0015674
13658 0
13658 0
13704 0
13704 0
13704 0
13704 0
13705 0
13705 0
13705 0
13705 0
13706 0
13706 0
13706 0
13706 0
13707 0
13707 0
13707 0
13707 0
13708 0
13708 0
13708 0
13708 0
13716 0
13716 0
13716 0
13716 0
13717 0
13717 0
13717 0
13717 0
13718 0
13718 0.0015674
13718 0
13718 0
13719 0
13719 0.0015674
13719 0
13719 0
13720 0
13720 0.0015674
13720 0
13720 0
13755 0
13755 0
13755 0
13755 0
13756 0
13756 0
13756 0
13756 0
13765 0
13765 0
13765 0
13765 0
13766 0
13766 0
13766 0
13766 0
13767 0
13767 0
13767 0
13767 0
13775 0
13775 0
13775 0
13775 0
13776 0
13776 0
13776 0
13776 0
13777 0
13777 0
13777 0.00091324
13777 0.00091324
13778 0
13778 0.0015674
13778 0
13778 0
13779 0
13779 0.0015674
13779 0
13779 0
13780 0
13780 0
13780 0
13780 0
13815 0
13815 0
13815 0
13815 0
13834 0
13834 0
13834 0.00091324
13834 0.00091324
13835 0
13835 0
13835 0.00091324
13835 0.00091324
13836 0
13836 0
13836 0.00091324
13836 0.00091324
13837 0
13837 0
13837 0.00091324
13837 0.00091324
13838 0
13838 0.0015674
13838 0.00091324
13838 0.00091324
13839 0
13839 0.0015674
13839 0.00091324
13839 0.00091324
13840 0
13840 0.0015674
13840 0
13840 0
13841 0
13841 0
13841 0
13841 0
13892 0
13892 0
13892 0.00091324
13892 0.00091324
13893 0
13893 0
13893 0.00091324
13893 0.00091324
13894 0
13894 0
13894 0.00091324
13894 0.00091324
13895 0
13895 0
13895 0.00091324
13895 0.00091324
13896 0
13896 0
13896 0.00091324
13896 0.00091324
13897 0
13897 0
13897 0.00091324
13897 0.00091324
13898 0
13898 0.0015674
13898 0.00091324
13898 0.00091324
13899 0
13899 0
13899 0
13899 0
13900 0
13900 0
13900 0
13900 0
13901 0
13901 0
13901 0
13901 0
13953 0
13953 0
13953 0.00091324
13953 0.00091324
13954 0
13954 0
13954 0.00091324
13954 0.00091324
13955 0
13955 0
13955 0.00091324
13955 0.00091324
13956 0
13956 0
13956 0.00091324
13956 0.00091324
13957 0
13957 0
13957 0.00091324
13957 0.00091324
13958 0
13958 0
13958 0.00091324
13958 0.00091324
13959 0
13959 0
13959 0
13959 0
13960 0
13960 0
13960 0
13960 0
13961 0
13961 0
13961 0
13961 0
13962 0
13962 0
13962 0
13962 0
14014 0
14014 0
14014 0.00091324
14014 0.00091324
14015 0
14015 0
14015 0.00091324
14015 0.00091324
14016 0
14016 0
14016 0.00091324
14016 0.00091324
14017 0
14017 0
14017 0.00091324
14017 0.00091324
14018 0
14018 0
14018 0.00091324
14018 0.00091324
14019 0
14019 0
14019 0.00091324
14019 0.00091324
14020 0
14020 0
14020 0.00091324
14020 0.00091324
14021 0
14021 0
14021 0.00091324
14021 0.00091324
14022 0
14022 0
14022 0
14022 0
14023 0
14023 0
14023 0
14023 0
14024 0
14024 0
14024 0
14024 0
14025 0
14025 0
14025 0
14025 0
14026 0
14026 0
14026 0
14026 0
14075 0
14075 0
14075 0.00091324
14075 0.00091324
14076 0
14076 0
14076 0.00091324
14076 0.00091324
14077 0
14077 0
14077 0.00091324
14077 0.00091324
14078 0
14078 0
14078 0.00091324
14078 0.00091324
14079 0
14079 0
14079 0.00091324
14079 0.00091324
14080 0
14080 0
14080 0.00091324
14080 0.00091324
14081 0
14081 0
14081 0.00091324
14081 0.00091324
14082 0
14082 0
14082 0.00091324
14082 0.00091324
14083 0
14083 0
14083 0.00091324
14083 0.00091324
14084 0
14084 0
14084 0
14084 0
14085 0
14085 0
14085 0
14085 0
14086 0
14086 0
14086 0
14086 0
14087 0
14087 0
14087 0
14087 0
14088 0
14088 0
14088 0
14088 0
14089 0
14089 0
14089 0
14089 0
14137 0
14137 0
14137 0.00091324
14137 0.00091324
14138 0
14138 0.0015674
14138 0.00091324
14138 0.00091324
14139 0
14139 0
14139 0.00091324
14139 0.00091324
14140 0
14140 0
14140 0.00091324
14140 0.00091324
14141 0
14141 0
14141 0.00091324
14141 0.00091324
14142 0
14142 0
14142 0.00091324
14142 0.00091324
14143 0
14143 0
14143 0.00091324
14143 0.00091324
14144 0
14144 0
14144 0.00091324
14144 0.00091324
14145 0
14145 0
14145 0.00091324
14145 0.00091324
14146 0
14146 0
14146 0.00091324
14146 0.00091324
14147 0
14147 0
14147 0
14147 0
14148 0
14148 0
14148 0
14148 0
14149 0
14149 0
14149 0
14149 0
14150 0
14150 0
14150 0
14150 0
14151 0
14151 0
14151 0
14151 0
14152 0
14152 0
14152 0
14152 0
14153 0
14153 0
14153 0
14153 0
14162 0
14162 0
14162 0
14162 0
14200 0
14200 0
14200 0
14200 0
14201 0
14201 0.0015674
14201 0.00091324
14201 0.00091324
14202 0
14202 0
14202 0.00091324
14202 0.00091324
14203 0
14203 0
14203 0.00091324
14203 0.00091324
14204 0
14204 0
14204 0.00091324
14204 0.00091324
14205 0
14205 0
14205 0.00091324
14205 0.00091324
14206 0
14206 0
14206 0.00091324
14206 0.00091324
14207 0
14207 0
14207 0.00091324
14207 0.00091324
14208 0
14208 0
14208 0.00091324
14208 0.00091324
14209 0
14209 0
14209 0.00091324
14209 0.00091324
14210 0
14210 0
14210 0.00091324
14210 0.00091324
14211 0
14211 0
14211 0.00091324
14211 0.00091324
14212 0
14212 0
14212 0
14212 0
14213 0
14213 0
14213 0
14213 0
14214 0
14214 0
14214 0
14214 0
14215 0
14215 0
14215 0
14215 0
14216 0
14216 0
14216 0
14216 0
14217 0
14217 0
14217 0
14217 0
14218 0
14218 0
14218 0
14218 0
14219 0
14219 0
14219 0
14219 0
14226 0
14226 0
14226 0
14226 0
14227 0
