stock  init_weight_per_szgroup
0 0.0000157384
0 0.0005293568
0 0.002714342
0 0.007966622
0 0.01780478
0 0.03383897
0 0.05775362
0 0.09129616
0 0.136269
0 0.1945235
0 0.2679552
0 0.3585003
0 0.4681322
0 0.5988589
1 0.00002424412
1 0.0007021187
1 0.003358232
1 0.009414946
1 0.02033362
1 0.03760325
1 0.06273445
1 0.09725565
1 0.1427105
1 0.2006558
1 0.2726603
1 0.3603033
1 0.4651736
1 0.5888691
2 0.00003132559
2 0.0009194417
2 0.00442518
2 0.01245721
2 0.02698666
2 0.05002915
2 0.08363518
2 0.1298841
2 0.1908799
2 0.268748
2 0.3656333
2 0.4836977
2 0.625119
2 0.7920893
3 0.0000351856
3 0.0004910998
3 0.001672914
3 0.003750535
3 0.00685448
3 0.01109386
3 0.01656383
3 0.02334954
3 0.03152856
3 0.04117242
3 0.05234775
3 0.06511706
3 0.07953939
3 0.09567076
