stock  init_M_per_szgroup
0 0.8847
0 0.5132
0 0.3508
0 0.2655
0 0.2134
0 0.1783
0 0.1531
0 0.1341
0 0.1193
0 0.1075
0 0.0977
0 0.0896
0 0.0828
0 0.0769
1 0.8847
1 0.5132
1 0.3508
1 0.2655
1 0.2134
1 0.1783
1 0.1531
1 0.1341
1 0.1193
1 0.1075
1 0.0977
1 0.0896
1 0.0828
1 0.0769
2 0.8847
2 0.5132
2 0.3508
2 0.2655
2 0.2134
2 0.1783
2 0.1531
2 0.1341
2 0.1193
2 0.1075
2 0.0977
2 0.0896
2 0.0828
2 0.0769
3 0.8847
3 0.5132
3 0.3508
3 0.2655
3 0.2134
3 0.1783
3 0.1531
3 0.1341
3 0.1193
3 0.1075
3 0.0977
3 0.0896
3 0.0828
3 0.0769
4 0.8847
4 0.5132
4 0.3508
4 0.2655
4 0.2134
4 0.1783
4 0.1531
4 0.1341
4 0.1193
4 0.1075
4 0.0977
4 0.0896
4 0.0828
4 0.0769
5 0.8847
5 0.5132
5 0.3508
5 0.2655
5 0.2134
5 0.1783
5 0.1531
5 0.1341
5 0.1193
5 0.1075
5 0.0977
5 0.0896
5 0.0828
5 0.0769
