stock  init_pops_per_szgroup
0 36172.47
0 30651.78
0 25030.06
0 22802.74
0 17001.35
0 13970.69
0 10605.05
0 6873.233
0 6078.328
0 4331.848
0 1930.448
0 1321.358
0 1628.103
0 707.5455
1 7765.127
1 7433.006
1 7362.647
1 7464.56
1 5461.45
1 6107.461
1 6695.339
1 3026.097
1 2889.758
1 2864.17
1 2827.659
1 1997.378
1 535.7132
1 0.5771943
2 44504.88
2 50919.57
2 173057
2 161015.1
2 38784.14
2 15038.72
2 3983.652
2 1061.669
2 353.9528
2 0
2 0
2 0
2 0
2 0
3 109351.3
3 89209.96
3 52041.87
3 88761.89
3 96699.08
3 30026.37
3 30983.87
3 35973.26
3 22964.22
3 12801.17
3 8575.021
3 1816.857
3 258.5261
3 0
4 1465375
4 1941550
4 2413125
4 3296600
4 883350
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 1465625
5 1942500
5 2408025
5 3307775
5 876075
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
