stock  init_proprecru_per_szgroup
0 0.3591
0 0.302125
0 0.263175
0 0.074675
0 0.000925
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0.257525
1 0.245775
1 0.242125
1 0.23715
1 0.017425
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
2 0.49295
2 0.457325
2 0.049725
2 0
2 0
2 0
2 0
2 0
2 0
2 0
2 0
2 0
2 0
2 0
3 0.250325
3 0.20605
3 0.11765
3 0.20305
3 0.215925
3 0.007
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
4 0.994675
4 0.005325
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 0.9951
5 0.0049
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
