stock price_per_cat
0 6.04810344827586
0 8.6551724137931
0 10.3312643678161
1 9.656
1 12.8704
1 16.578
2 3.3376
2 4.4804
2 6.0368
3 4.04776119402985
3 7.67108208955224
3 10.7885447761194
4 23.9308
4 32.9348
4 39.8948
5 4
5 5
5 6
