landscape loss_after_one_passage
0 -0.79
0 -0.79
1 -0.79
1 -0.79
10 -0.79
10 -0.79
11 -0.79
11 -0.79
100 -0.79
100 -0.79
101 -0.79
101 -0.79
110 -0.79
110 -0.79
111 -0.79
111 -0.79
1000 -0.79
1000 -0.79
1001 -0.79
1001 -0.79
1100 -0.79
1100 -0.79
1101 -0.79
1101 -0.79
1111 -0.79
1111 -0.79
