LE_MET_level6 mls
0 7
0 7
0 4
0 1
0 1
0 1
1 7
1 7
1 4
1 1
1 1
1 1
2 7
2 7
2 4
2 1
2 1
2 1
3 7
3 7
3 4
3 1
3 1
3 1
