landscape meanweight_funcgr_per_node
0 30
0 30
1 30
1 30
10 30
10 30
11 30
11 30
100 30
100 30
101 30
101 30
110 30
110 30
111 30
111 30
1000 30
1000 30
1001 30
1001 30
1100 30
1100 30
1101 30
1101 30
1111 30
1111 30
