pt_graph coeff
0 0.75
0 0.75
0 0.75
0 0.75
0 0.75
0 0.75
0 0.75
0 0.75
0 0.75
0 0.1
0 0.1
0 0.1
0 0.75
0 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.75
1 0.1
1 0.1
1 0.1
1 0.75
1 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.75
2 0.1
2 0.1
2 0.1
2 0.75
2 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
3 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
4 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
5 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.75
6 0.1
6 0.1
6 0.1
6 0.75
6 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.75
7 0.1
7 0.1
7 0.1
7 0.75
7 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.75
8 0.1
8 0.1
8 0.1
8 0.75
8 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.75
9 0.1
9 0.1
9 0.1
9 0.75
9 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.75
10 0.1
10 0.1
10 0.1
10 0.75
10 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.75
11 0.1
11 0.1
11 0.1
11 0.75
11 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
16 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
17 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
18 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
19 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.75
20 0.1
20 0.1
20 0.1
20 0.1
20 0.1
21 0.75
21 0.75
21 0.75
21 0.75
21 0.75
21 0.75
21 0.75
21 0.75
21 0.75
21 0.1
21 0.1
21 0.1
21 0.1
21 0.1
22 0.75
22 0.75
22 0.75
22 0.75
22 0.75
22 0.75
22 0.75
22 0.75
22 0.75
22 0.1
22 0.1
22 0.1
22 0.75
22 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.75
23 0.1
23 0.1
23 0.1
23 0.75
23 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.75
24 0.1
24 0.1
24 0.1
24 0.75
24 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.75
25 0.1
25 0.1
25 0.1
25 0.75
25 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.75
26 0.1
26 0.1
26 0.1
26 0.75
26 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
31 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
32 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
33 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
34 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
35 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
36 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
37 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
38 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
39 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
40 0.75
41 0.05
41 0.05
41 0.05
41 0.05
41 0.05
41 0.05
41 0.05
41 0.05
41 0.05
41 0.1
41 0.1
41 0.1
41 0.1
41 0.1
42 0.05
42 0.05
42 0.05
42 0.05
42 0.05
42 0.05
42 0.05
42 0.05
42 0.05
42 0.1
42 0.1
42 0.1
42 0.1
42 0.1
43 0.75
43 0.75
43 0.75
43 0.75
43 0.75
43 0.75
43 0.75
43 0.75
43 0.75
43 0.1
43 0.1
43 0.1
43 0.1
43 0.1
44 0.75
44 0.75
44 0.75
44 0.75
44 0.75
44 0.75
44 0.75
44 0.75
44 0.75
44 0.1
44 0.1
44 0.1
44 0.1
44 0.1
45 0.75
45 0.75
45 0.75
45 0.75
45 0.75
45 0.75
45 0.75
45 0.75
45 0.75
45 0.1
45 0.1
45 0.1
45 0.1
45 0.1
46 0.75
46 0.75
46 0.75
46 0.75
46 0.75
46 0.75
46 0.75
46 0.75
46 0.75
46 0.1
46 0.1
46 0.1
46 0.75
46 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.75
47 0.1
47 0.1
47 0.1
47 0.75
47 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.75
48 0.1
48 0.1
48 0.1
48 0.75
48 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.75
49 0.1
49 0.1
49 0.1
49 0.75
49 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
50 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
54 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
55 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
56 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
57 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
58 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
59 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
60 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
61 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
62 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
63 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
64 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
65 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
66 0.75
