0.001 0 0 0 0 0 0 0 0 0 0 0 0 0
0.313 0.001 0 0 0 0 0 0 0 0 0 0 0 0
0.672 0.376 0.001 0 0 0 0 0 0 0 0 0 0 0
0.014 0.615 0.421 0.001 0 0 0 0 0 0 0 0 0 0
0 0.007 0.573 0.474 0.002 0 0 0 0 0 0 0 0 0
0 0 0.004 0.523 0.541 0.002 0 0 0 0 0 0 0 0
0 0 0 0.002 0.457 0.596 0.002 0 0 0 0 0 0 0
0 0 0 0 0.001 0.402 0.656 0.003 0 0 0 0 0 0
0 0 0 0 0 0 0.341 0.72 0.003 0 0 0 0 0
0 0 0 0 0 0 0 0.277 0.78 0.005 0 0 0 0
0 0 0 0 0 0 0 0 0.216 0.836 0.005 0 0 0
0 0 0 0 0 0 0 0 0 0.16 0.884 0.007 0 0
0 0 0 0 0 0 0 0 0 0 0.111 0.923 0.009 0
0 0 0 0 0 0 0 0 0 0 0 0 0.991 1
